# xi	alpha_0	alpha_0p5	alpha_1	alpha_2	alpha_5	alpha_10	alpha_100
0.7825	0.997989587662	1.000375290451	1.007125254137	1.009901637235	0.995250099897	0.977518017602	0.983151166877
0.7875	1.018146245539	1.024982100509	1.009389192143	0.998930365885	1.032455345223	1.030196114003	1.015114656866
0.7925	0.998196960686	1.000787843783	1.003212436427	1.014583231747	0.991478680781	0.973002377143	0.982621929268
0.7975	1.01564394439	1.018221549124	1.021454803946	0.991655090203	1.027261487756	1.023790205445	1.008886884077
0.8025	0.99254258958	1.003183314746	0.995609268902	1.018395943068	0.980595069907	0.967187177366	0.982080383808
0.8075	1.006381282677	1.012113098169	1.023221460771	0.978401379423	1.021858831998	1.019248311262	0.999459069933
0.8125	0.98294813103	0.999483642926	0.99153941503	1.017410344223	0.973600327187	0.969773169141	0.981994228848
0.8175	1.003865156659	1.007069300975	1.01652125118	0.971372503452	1.01366349911	1.01412883516	0.99510209055
0.8225	0.983086379712	0.998631919917	0.986710553039	1.016904576395	0.971329645782	0.97203098937	0.97830187344
0.8275	1.002883591015	0.998445605509	1.01148300764	0.971294693017	1.0037977799	1.012172932752	0.999065218689
0.8325	0.979630162655	0.996715543146	0.977157519834	1.015906009144	0.971708092682	0.966596468585	0.973304885786
0.8375	0.998805254888	0.992443619929	1.01031832277	0.968260086048	0.99459760524	1.010046381141	1.002905268314
0.8425	0.975883623365	0.993295342938	0.979918739021	1.01629506132	0.980568970121	0.966478326829	0.974609518031
0.8475	1.001639352875	0.994013984227	1.009284501368	0.964291753858	0.990526038582	1.007670419155	1.00638839025
0.8525	0.971487315269	0.984418792204	0.985323400273	1.009434774625	0.979564128349	0.963498529201	0.981440375537
0.8575	1.003339811667	1.001133856256	1.004193912441	0.964291753858	0.992105075652	1.00369298003	0.99907752654
0.8625	0.973229248665	0.981118365544	0.981449841603	1.007048587948	0.977254297265	0.967397207155	0.986781983029
0.8675	1.002662393123	1.005991339042	1.006261555244	0.971554061134	0.995589397118	1.000726309263	0.995975947997
0.8725	0.981095598687	0.978802743613	0.979225162637	1.010550057528	0.984966784107	0.972293526606	0.983877330107
0.8775	1.003132438643	1.007069300975	1.009506969265	0.98147489161	0.994949952355	1.004795636421	0.999015987284
0.8825	0.987717710569	0.974969990072	0.980926387729	1.010498183904	0.990773986552	0.977360495261	0.981784995375
0.8875	1.007639345686	1.007255615383	1.011404489559	0.986740064386	0.998473423501	1.007368501334	1.003188348896
0.8925	0.99581908335	0.978483347484	0.983308102857	1.008034186793	0.99134818185	0.98603735091	0.982326540835
0.8975	1.006325983204	1.005206156893	1.010737085869	0.99213492122	1.001566248174	1.005058173657	1.006979167115
0.9025	1.000768386176	0.980998591995	0.988176223888	1.004156633443	0.9920137264	0.989476588701	0.983286553242
0.9075	0.997713090298	1.005179540549	1.006012914654	0.996401526744	1.000522256723	1.002997256355	1.004714522465
0.9125	1.000782211044	0.980546114147	0.988385605437	0.99869693458	0.994715054278	0.98763882805	0.984283489202
0.9175	0.99386977693	1.007641552372	1.007583276277	0.999189734002	0.999125918158	1.004191800778	1.0050345266
0.9225	1.001501104192	0.98010694447	0.985519695475	0.993717066733	0.992470472659	0.982296195297	0.98633890038
0.9275	0.994920466916	1.009597853658	1.006549454875	0.998256008781	0.996476789852	1.005281330308	0.998683675297
0.9325	0.999703871323	0.979561309418	0.985676731638	0.98969686092	0.991661379285	0.976349726902	0.991409735141
0.9375	0.996565626235	1.00941153925	1.001929974435	0.993639256298	0.992822819774	1.006567762764	0.987360452043
0.9425	0.996468852157	0.978376882108	0.981816259315	0.989670924108	0.99351446411	0.976074062804	0.994092846738
0.9475	0.992127843533	1.003529327219	1.002479601003	0.986325075398	0.983961942336	1.007158471545	0.9788434189
0.9525	0.996786824126	0.981025208339	0.982405144923	0.993496603834	0.996098342951	0.980340292889	0.998068282729
0.9575	0.991104803285	0.999097705937	1.007138340484	0.986753032791	0.981130115525	1.008129859318	0.975901842424
0.9625	0.993455030883	0.987173583811	0.984237233483	0.991330880057	1.000404807685	0.980327166027	1.001649867475
0.9675	0.997920463321	0.995225027881	1.007687967052	0.992459131366	0.97906823241	1.008668060652	0.975951073829
0.9725	0.994878992311	0.990806714771	0.988163137541	0.983147815965	0.998173275959	0.980484688369	1.001342171191
0.9775	0.995611710327	0.989382740366	1.001027016501	0.995169528189	0.975349012867	1.003929263542	0.972935650245
0.9825	0.998860554361	0.993188877562	0.996211240858	0.978479189858	0.992940268812	0.987336910228	0.997846741404
0.9875	0.99433982245	0.992590009821	0.996211240858	1.001964972855	0.983322497572	0.999492384254	0.978055716412
0.9925	1.002330596286	0.996795392179	0.999940849712	0.988763135698	0.994688954492	0.996998280512	0.996172873619
0.9975	1.002247647077	0.998299215616	0.999495913919	1.001173900098	0.994297457698	1.000096219897	0.990991268195
