# xi	alpha_0	alpha_0p5	alpha_1	alpha_2	alpha_5	alpha_10	alpha_100
0.8025	0.99254258958	0.964935325102	0.982582173004	1.024458630084	0.980365272108	1.003686825193	0.990418896912
0.8075	1.006381282677	1.018622814597	1.018033526438	1.002075740375	1.008765281351	0.998783317039	1.011380868309
0.8125	0.98294813103	0.965588425148	0.978914791614	1.019849624373	0.974233307663	0.99801714389	0.982709176
0.8175	1.003865156659	1.015463942946	1.014458158202	0.993364070425	1.006149992167	0.99241131035	1.009051760376
0.8225	0.983086379712	0.966681368082	0.970212976273	1.021485496822	0.977635722717	0.993624417836	0.980305337331
0.8275	1.002883591015	1.019262586071	1.01573319761	0.982834764419	1.002303231863	0.984979430805	1.005502050425
0.8325	0.979630162655	0.954992210116	0.960906503069	1.021057054038	0.978486326481	0.988273975346	0.984104149735
0.8375	0.998805254888	1.026513329439	1.015167973954	0.972331424642	0.996158571839	0.975683196597	0.997505861692
0.8425	0.975883623365	0.946821795255	0.958409003198	1.023510862712	0.980276403058	0.983012919722	0.983693130688
0.8475	1.001639352875	1.027632929518	1.017560315936	0.964450674031	0.994013019062	0.976538756613	1.00118012287
0.8525	0.971487315269	0.94752820959	0.959960082065	1.024393714511	0.97628999139	0.979016049795	0.982173605727
0.8575	1.003339811667	1.020848686183	1.01511539501	0.95232444492	0.998139082094	0.978875584718	1.005589236283
0.8625	0.973229248665	0.953232838563	0.9666244633	1.020641594368	0.971922712365	0.981646577607	0.984540079028
0.8675	1.002662393123	1.020342200433	1.00901623743	0.952441292952	1.009501624907	0.981365647452	1.002761923445
0.8725	0.981095598687	0.955778595886	0.967163397483	1.017240018322	0.975147389319	0.984187718551	0.986433257668
0.8775	1.003132438643	1.024940557899	1.010882789965	0.961075064214	1.013500732154	0.987737654141	1.002263718539
0.8825	0.987717710569	0.958790853241	0.96960831841	1.015331500464	0.979514668345	0.985592369324	0.990593268629
0.8875	1.007639345686	1.027752886669	1.013446013517	0.96694343205	1.009323886807	0.99066188166	1.004094621567
0.8925	0.99581908335	0.967361125273	0.978967370559	1.010982157046	0.982815518771	0.987214102489	0.994105613212
0.8975	1.006325983204	1.027166429485	1.016613894933	0.97790118084	1.011672568841	0.993764882913	1.005800973368
0.9025	1.000768386176	0.970559982641	0.978441581112	1.005165721669	0.984770637869	0.985477443352	0.993594953184
0.9075	0.997713090298	1.028805843886	1.019505736889	0.989118591924	1.008765281351	1.000149659155	1.007831158358
0.9125	1.000782211044	0.969920211167	0.976969370662	1.001192888577	0.988274617552	0.987290719804	0.99461627324
0.9175	0.99386977693	1.031111686905	1.016390434418	0.991117991585	1.003141140048	0.996101711018	1.004841928925
0.9225	1.001501104192	0.973998754312	0.976640752257	0.996622832209	0.98873165838	0.986511777103	0.989111109035
0.9275	0.994920466916	1.026513329439	1.014208408215	0.988521368649	1.00047506855	0.991057737787	1.001117847257
0.9325	0.999703871323	0.978117283173	0.975313133905	0.993338104195	0.988388877759	0.978696810983	0.980678991011
0.9375	0.996565626235	1.020795371893	1.016272131792	0.9864440703	0.995638053118	0.994863064427	1.00415689718
0.9425	0.996468852157	0.978277226042	0.976404147007	0.986937428658	0.984123163362	0.976679221691	0.980529529539
0.9475	0.992127843533	1.014051114275	1.014458158202	0.989066659465	0.994660493569	0.991964376013	1.005215582604
0.9525	0.996786824126	0.981609369133	0.981031094136	0.985054877029	0.984072381048	0.976921843188	0.985362117122
0.9575	0.991104803285	1.010252471151	1.010738197867	0.991819079778	0.996907610974	0.989027378942	1.002288628784
0.9625	0.993455030883	0.986500955192	0.987380001704	0.989118591924	0.989455306358	0.978109411569	0.992087883345
0.9675	0.997920463321	1.010012556848	1.004915079746	0.990377954048	0.99676795961	0.987852580114	0.994416991278
0.9725	0.994878992311	0.989419912541	0.989706620005	0.992195590103	0.990420170329	0.983919557949	0.99461627324
0.9775	0.995611710327	1.004454542171	1.000196119464	0.987300955869	0.993187806455	0.984417570496	0.988700089988
0.9825	0.998860554361	0.999256398948	0.993058527726	0.992870712067	0.992413376163	0.988018584296	0.993744414656
0.9875	0.99433982245	0.995710998698	1.002943369322	0.988923845204	0.992908503727	0.986243616501	0.987977692875
0.9925	1.002330596286	1.00653379946	0.999801777379	0.994675365007	0.995841182375	0.993037018422	0.995662503542
0.9975	1.002247647077	0.999296384665	1.004060671896	0.99515574025	0.996552134774	0.992347462588	0.991801415525
